"Text","Sentiment"
"Máy quá tốt trong tầm giá, cám ơn shop tặng thêm bàn phím.",2
"Mép màn hình đường viền bị gẫy 3 điểm",0
"Máy tốt, giao hàng trước thời hạn dự kiến. Nhưng có 2 vấn đề:
- Máy không gọi điện được mặc dù xem phần cài đặt có thấy cài đặt gọi điện.
- Tai nghe âm lượng rất nhỏ, không thể sử dụng đươc.
Đề nghị nhà cung cấp xem xét.",0
"Máy chưa sd nên chưa bt. Ko có phiếu bảo hành và phieu trả hàng. Vãi. Máy bị công vênh ở gốc. Trả hang thj ko co phiếu. Làm ăn mất uy tín.",0
"Máy tốt, giao hàng trước thời hạn dự kiến. Nhưng có 2 vấn đề:
- Máy không gọi điện được mặc dù xem phần cài đặt có thấy cài đặt gọi điện.
- Tai nghe âm lượng rất nhỏ, không thể sử dụng đươc.
Đề nghị nhà cung cấp xem xét.",0
"Sản phẩm chất lượng tốt, đầy đủ phụ kiện, giao hàng nhanh chóng.",2
"sản phẩm chất lượng rất tốt, dùng cho các con học tiếng anh tốt. loa chuẩn",2
"ngon thì có ngon thật nhưng k nghe gọi được gì hết ",0
"Máy còn mới lắm ! Chất lượng thì chưa sử dụng nhiều, đợi time nữa xem sao .",2
"May đẹp",2
"good",2
"Đóng gói cẩn thận, giao hàng nhanh. Sản phẩm đẹp, chỉ hơi trầy xước chút ít. Shop uy tín.",2
"May tam on, nhung nhanh het pin, su dung khoang nua tieng la may nong qua.Minh muon doi may khac nhe",0
"Đặt hàng Huawei nhưng giao Lenovo T9S giá còn không tương đương.
Đã vậy còn không cho kiểm hàng.",0
"Đặt 10inch giao 7inch",0
"May tam on, nhung nhanh het pin, su dung khoang nua tieng la may nong qua.Minh muon doi may khac nhe",0
"Đặt hàng Huawei nhưng giao Lenovo T9S giá còn không tương đương.
Đã vậy còn không cho kiểm hàng.",0
"hình ảnh khác hơn với bên ngoàil còn toàn mọi thứ ổn mỗi cái pin nhanh hết thêa",1
"shop cho hỏi sao máy k nhận sim vậy, tôi đang cần trợ giúp",1
"may bi loipin hay bi sap nguon",0
"máy mua về mới dùng 2 ngày đã hỏng gửi vào để đổi thì không trả lại máy đề nghị xem lại phương thức làm ăn",0
"Hàng rất tốt, máy mới nguyên cảm ứng nhạy, đẹp, pin tốt, âm thanh quá tuyệt, giá hợp lý bình dân. Cảm ơn Lazada và cảm ơn shop . . . !",2
"ok ",2
"sản phẩm đẹp đúng mô tả ",2
"Máy sử dụng rất tốt cho 10d !",2
"máy chạy mượt mà, đẹp",2
"hàng đúng quảng cáo. đóng gói cẩn thận",2
"đánh giá rồi không biết có được tặng tai nghe như shop nói không hihihi",2
"ncc",1
"sp tốt",2
"sp giống mô tả. âm thanh ổn. wifi tốt. mọi thứ đều ổn.",2
"máy không dùng mạng di động của việt Nam đc mà phải mua code nước ngoài rất đắt nhưng shop không hề nói cho khách hàng biết",0
"Máy chất lượng rất tốt, chúc shop có nhiều sản phẩm tốt hơn nữa",2
"Đang dùng,dung lượng hơi nhỏ hạn chế tải game.",0
"giao máy còn đệp
coi youtube nhanh
tjank",2
"không có củ sạc của nó. thì dùng thế nào, vứt máy đi à, bán cho tôi cục sạc tiếp tôi trả thêm tiền,",0
"mình đặt máy tính bảng lenovo t9s mà sop lại gửi máy khác mình đã gửi lại đổi đúng máy mình đặt không biết lúc nào mới nhận được vậy",0
"This is a scam. They don't send a Lenovo. They send a , SHANGBAIXING. Do not buy the Lenovo! Scam!
Liar's.. they send a piece of junk..",0
"Tôi cân đoi lai mây bi lôi muôn gửi lai h lam j",0
"Hàng dùng được tuy nhiên shop gửi ko đúng dây sạc làm phải đi ra ngoài tìm mua dây khác",1
"máy chạy tốt, chơi game.mượt.",2
"Giao hàng nhanh. Máy ok. Cảm ơn shop.",2
"Lazada giao hàng cực nhanh. Nhân viên nhiệt tình dù phải đứng đợi mình về giữa trưa nắng. Quan trọng là sản phẩm rất tốt với một người chuyên cày như mình. Vừa phục vụ cho giải trí, vừa phục vụ cho việc dạy học. Đáng để dành nửa tháng lương.",2
"Thanks for sending quickly. I ordered it today morning and then received it tonight. 
I am doing the setting now, it is working very well.",2
"Sản phẩm giao hàng rất nhanh,tôi rất hài lòng với sản phẩm, nguyên seal nguyên kiện ngay cả từ điển cũng không có luôn.",2
"Fast delivery, product perfect, very happy with the service and my new kindle.",2
"standard waterproof kindle. all good",2
"Great product. Perfect delivery in less than 3 days",2
"Ổn recommend 10/10",2
"Perfect- exactly like the one I had that I bought from the uk.",2
"Sản phẩm tốt, giao hàng nhanh",2
"It works and is waterproof... thats good enough for me. ",2
"Giao hàng nhanh,Đóng hàng chắn chắn, Còn chất lượng phải sử dụng qua. Cảm ơn Shop",2
"Its water proof. Seems to work ok. I have had it in the pool 2 times. no problem.",2
"sản phẩm tốt nhưng pin hơi kém củ sạc thì lại sạc không được nhanh vừa test máy và vừa sạc thì pin vẫn tụt phần trăm không lên đổi Mic đàm thoại nghe rất nhỏ ,Loa ngoài cũng không được tốt , phần Âm thanh rất tệ",1
"Đặt hàng trưa qua mà chiều nay nhận dc hàng rồi, quá ngon, hàng nhìn keng xà beng, cho 5* vì dịch vụ cái đã, chất lượng để test rồi phản hồi shop sau kkk",2
"RAT OK",2
"Máy đẹp",2
"bê màn hinh cung ban",0
"sài tốt lắm",2
"Máy xài tạm được trong tầm giá, màn to vừa phải, camera siêu lởm chỉ để cho có. Mình tìm chưa có root nên hơi bị gò bó với mấy app của Amazon. Ai thích tùy biến nhiều như mình thì nên chọn hãng khác. Shop để thông tin chưa chính xác, máy này là bản 7th gen tức là bản 2017 chứ không phải 2018",1
"Hôm đầu mình gặp vấn đề với loa (hơi rè) nhưng đã khắc phục được (bóp vào cạnh máy là hết). Màn hình máy không được nét nếu so sánh với các máy tính bảng Trung Quốc cùng tầm giá nhưng xét về pin, độ bền và thương hiệu thì hơn hẳn. Cảm giác cầm nắm tốt, nhẹ và ko bị cấn tay.",1
"Vô địch trong tầm giá. Chất lượng tuyệt vời. Mình đã mua đến cái thứ 4 rồi. Dùng cho bán hàng. Dùng cho họp tập và giải trí cũng rất ok. Quan trọng là em nó Pin rất trâu. Mẫu mã không theo trào lưu bây h nhưng mình rất thích. Nói chung là miễn bàn luận. Uh, mua về lên Google xem hướng dẫn cài CH play nhé (rất đơn giản).",2
"Chất lượng sản phẩm rất tốt phù hợp với giá tiền. Rất thích hợp cho trẻ em học tập và giải trí nhẹ nhàng. ",2
"không có tiếng việt và google play , nhiều quảng cáo ở màn hình khóa ( có thể khắc phục bằng cách liên hệ trực tiếp supporter của amazon để khắc phục ) , mình vừa nhận , hiện tại vẫn đang test . Sản phẩm còn seal nhé mọi người",2
"Hàng shop tốt, nguyên seal, chính hãng full box, tuy nhiên bên shop giao hàng chậm cho kho lazada quá trễ 2 ngày so với dự kiến.",2
"mới mua về gần 1 tuần thì bị mất.. cho 4 sao thôi.

dù gì thì cũng có trải nghiệm tuyệt vời trong 6 ngày đó.",2
"Máy đẹp, giao hàng nhanh, tuy nhiên không có tiếng việt, máy ảnh cho có :) tuy nhiên vẫn rate 5* vù máy rất tốt so với mức giá rồi.",2
"Ưu điểm: rẻ, pin khá, máy khá chắc chắn
Nhược: hở sáng ở góc màn hình gần nút nguồn, cảm ứng thỉnh thoảng ko nhạy lắm",1
"Mua xong chặn phần hỏi đáp về sản phẩm khi mình đặt câu hỏi mặc dù mình đăng xuất hoặc vào nick laz khác vẫn xem dc hỏi đáp. ",1
"Máy nhẹ, RAM 1.5GB đủ dùng cho các tác vụ nhẹ. Màn hình không đến mức sắc nét nhưng cũng không bị rỗ. Có thể cái Google Play. Phù hợp sử dụng cho trẻ nhỏ học tiếng Anh và giải trí với các game nhẹ.",2
"Sử dụng tốt với các nhu cầu cơ bản như xem Youtube, lướt web,... Cài thêm CH Play là xài vô tư, pin tốt, thiết kế nhựa nhìn hơi rẻ tiền nhưng chắc sẽ bền...",2
"Tốt trong tầm giá. Máy mới nguyên seal. Mọi thứ đều ok trừ việc có 2 loa thì loa bên trên bị rè khi mở volume >50%. Nhưng mình nghĩ cũng k phải vấn đề quá lớn vì mình thường xài tai nghe hơn là loa.",2
"Dùng rất tốt, máy nguyên seal và đóng gói cực kì cẩn thận, mình rất thích và sẽ có dự định mua thêm để tặng người thân!",2
"Sữa rửa mặt nhìn bề ngoài khá ổn, giá rẻ với đọc bình luận thấy review tốt nên mình mua, giao hàng cũng khá nhanh, ổn ạ",2
